country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Indonesia,0.056 (0.051 - 0.062),24.4% (21.0% - 28.3%),4.09 (3.53 - 4.76),7609,34800 (31000 - 39200)
India,0.039 (0.038 - 0.041),35.2% (31.4% - 39.4%),2.84 (2.54 - 3.19),89539,265000 (237000 - 296000)
Hungary,0.123 (0.067 - 0.199),11.2% (6.8% - 20.7%),8.95 (4.83 - 14.71),30,342 (221 - 523)
Honduras,0.029 (0.022 - 0.038),47.6% (35.7% - 65.2%),2.1 (1.53 - 2.8),3795,10700 (9200 - 12500)
Guatemala,0.062 (0.053 - 0.072),22.1% (18.3% - 26.9%),4.52 (3.72 - 5.46),3264,14600 (12800 - 16600)
Germany,0.039 (0.031 - 0.047),35.7% (28.5% - 45.0%),2.8 (2.22 - 3.51),3553,10400 (9030 - 11900)
France,0.069 (0.061 - 0.078),19.8% (16.8% - 23.4%),5.05 (4.28 - 5.96),3280,15100 (13300 - 17200)
Egypt,0.064 (0.059 - 0.069),21.4% (18.7% - 24.5%),4.67 (4.08 - 5.34),10778,41900 (37300 - 47200)
Ecuador,0.09 (0.081 - 0.099),15.3% (13.2% - 17.8%),6.52 (5.62 - 7.57),3827,24800 (22000 - 28000)
Dominican_Republic,0.027 (0.022 - 0.033),50.6% (40.0% - 65.0%),1.98 (1.54 - 2.5),3206,6700 (5830 - 7720)
Democratic_Republic_of_the_Congo,0.022 (0.013 - 0.032),64.0% (41.7% - 100.0%),1.56 (1 - 2.4),948,1620 (1330 - 1990)
Colombia,0.052 (0.048 - 0.056),26.4% (23.0% - 30.2%),3.79 (3.32 - 4.35),16887,56600 (50500 - 63600)
Chile,0.034 (0.032 - 0.035),41.0% (36.2% - 46.3%),2.44 (2.16 - 2.76),69393,173000 (155000 - 195000)
Canada,0.075 (0.067 - 0.084),18.3% (15.7% - 21.4%),5.46 (4.68 - 6.37),2609,12900 (11400 - 14600)
Cameroon,0.013 (0.008 - 0.018),100.0% (74.4% - 100.0%),1 (1 - 1.34),1709,3600 (3020 - 4330)
Bulgaria,0.069 (0.047 - 0.097),19.9% (13.9% - 29.7%),5.03 (3.37 - 7.22),606,3200 (2560 - 3960)
Brazil,0.04 (0.039 - 0.04),34.8% (31.1% - 38.9%),2.87 (2.57 - 3.21),217065,613000 (549000 - 684000)
Bolivia,0.04 (0.034 - 0.047),34.2% (28.3% - 41.5%),2.93 (2.41 - 3.54),5670,17500 (15500 - 20000)
Belgium,0.053 (0.039 - 0.069),26.2% (19.6% - 35.5%),3.82 (2.82 - 5.11),632,2550 (2160 - 3030)
Belarus,0.007 (0.005 - 0.009),100.0% (100.0% - 100.0%),1 (1 - 1),4695,4700 (4700 - 4700)
Bangladesh,0.014 (0.013 - 0.016),95.6% (81.9% - 100.0%),1.05 (1 - 1.22),24396,27700 (25200 - 31300)
Azerbaijan,0.015 (0.01 - 0.02),94.4% (67.1% - 100.0%),1.06 (1 - 1.49),2668,3050 (2740 - 3610)
Armenia,0.019 (0.015 - 0.024),72.6% (56.3% - 94.0%),1.38 (1.06 - 1.78),3704,5500 (4790 - 6340)
Argentina,0.025 (0.022 - 0.029),55.0% (46.0% - 66.1%),1.82 (1.51 - 2.18),10909,22900 (20100 - 26000)
Algeria,0.099 (0.079 - 0.121),13.9% (11.0% - 17.7%),7.21 (5.65 - 9.09),821,5140 (4400 - 6000)
Afghanistan,0.024 (0.02 - 0.029),56.6% (46.0% - 69.8%),1.77 (1.43 - 2.17),4322,6960 (6080 - 7960)
