country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Peru,0.041 (0.039 - 0.044),33.2% (29.3% - 37.5%),3.01 (2.67 - 3.41),24651,73100 (65500 - 82100)
Panama,0.021 (0.017 - 0.025),65.6% (52.7% - 83.1%),1.53 (1.2 - 1.9),5436,7690 (6720 - 8840)
Pakistan,0.015 (0.014 - 0.017),88.8% (77.4% - 100.0%),1.13 (1 - 1.29),26338,37800 (33900 - 42400)
Oman,0.005 (0.003 - 0.006),100.0% (100.0% - 100.0%),1 (1 - 1),8387,8390 (8390 - 8390)
North_Macedonia,0.041 (0.03 - 0.054),33.6% (25.0% - 46.4%),2.98 (2.16 - 3.99),911,3220 (2740 - 3790)
Nigeria,0.014 (0.01 - 0.018),100.0% (76.6% - 100.0%),1 (1 - 1.31),4269,6880 (6060 - 7890)
Netherlands,0.015 (0.009 - 0.023),91.9% (58.0% - 100.0%),1.09 (1 - 1.73),572,859 (719 - 1040)
Moldova,0.025 (0.019 - 0.032),55.4% (42.4% - 73.8%),1.81 (1.35 - 2.36),2127,4860 (4180 - 5640)
Mexico,0.181 (0.177 - 0.186),7.6% (6.8% - 8.5%),13.17 (11.78 - 14.75),37600,478000 (429000 - 535000)
Mauritania,0.013 (0.007 - 0.022),100.0% (63.3% - 100.0%),1 (1 - 1.58),1094,2240 (1730 - 2850)
Kuwait,0.007 (0.004 - 0.01),100.0% (100.0% - 100.0%),1 (1 - 1),5246,5250 (5250 - 5250)
Kenya,0.021 (0.013 - 0.032),65.5% (43.1% - 100.0%),1.53 (1 - 2.32),1333,2250 (1840 - 2750)
Kazakhstan,0.024 (0.018 - 0.03),58.4% (44.3% - 78.1%),1.71 (1.28 - 2.26),3555,5940 (5090 - 6920)
Japan,0.05 (0.031 - 0.076),27.4% (17.9% - 44.2%),3.65 (2.26 - 5.58),591,3610 (2960 - 4370)
Italy,0.08 (0.069 - 0.093),17.1% (14.2% - 20.6%),5.85 (4.85 - 7.03),1861,16600 (14600 - 18800)
Iraq,0.075 (0.07 - 0.081),18.3% (16.0% - 20.9%),5.45 (4.79 - 6.24),14040,72300 (64600 - 81300)
Iran,0.051 (0.047 - 0.054),27.2% (23.9% - 30.8%),3.68 (3.24 - 4.18),17596,64100 (57300 - 72000)
Indonesia,0.04 (0.036 - 0.045),34.5% (29.5% - 40.3%),2.9 (2.48 - 3.4),7783,24600 (21800 - 27700)
India,0.035 (0.034 - 0.036),39.3% (35.0% - 44.0%),2.55 (2.27 - 2.86),118398,310000 (279000 - 347000)
Honduras,0.041 (0.034 - 0.049),33.6% (27.4% - 41.5%),2.97 (2.41 - 3.65),4757,12300 (10700 - 14100)
Haiti,0.013 (0.007 - 0.022),100.0% (63.2% - 100.0%),1 (1 - 1.58),700,731 (700 - 850)
Guatemala,0.062 (0.054 - 0.071),22.1% (18.5% - 26.4%),4.52 (3.79 - 5.4),3642,16200 (14300 - 18500)
Ghana,0.008 (0.005 - 0.013),100.0% (100.0% - 100.0%),1 (1 - 1),2720,3110 (2810 - 3580)
Germany,0.028 (0.022 - 0.035),48.8% (38.6% - 62.7%),2.05 (1.6 - 2.59),3677,9020 (7850 - 10400)
France,0.046 (0.039 - 0.054),29.7% (24.5% - 36.2%),3.37 (2.76 - 4.08),2843,11600 (10100 - 13400)
El_Salvador,0.069 (0.053 - 0.089),19.8% (15.2% - 26.4%),5.05 (3.79 - 6.57),1308,5960 (5050 - 7110)
Egypt,0.056 (0.051 - 0.06),24.7% (21.5% - 28.2%),4.04 (3.55 - 4.65),10165,42500 (38000 - 47900)
Ecuador,0.055 (0.049 - 0.062),24.9% (21.0% - 29.6%),4.01 (3.38 - 4.76),4391,22800 (20100 - 25800)
Dominican_Republic,0.02 (0.015 - 0.025),70.4% (54.3% - 92.1%),1.42 (1.09 - 1.84),4841,7090 (6170 - 8220)
Democratic_Republic_of_the_Congo,0.037 (0.026 - 0.052),36.9% (25.9% - 54.3%),2.71 (1.84 - 3.86),881,2030 (1600 - 2560)
Colombia,0.058 (0.054 - 0.062),23.7% (20.8% - 27.0%),4.21 (3.71 - 4.8),22958,93300 (83300 - 105000)
Chile,0.018 (0.017 - 0.019),77.9% (68.5% - 88.1%),1.28 (1.13 - 1.46),31018,56500 (50600 - 63400)
Canada,0.038 (0.031 - 0.045),36.3% (29.2% - 45.3%),2.76 (2.21 - 3.42),2013,9720 (8590 - 11000)
Cameroon,0.009 (0.005 - 0.014),100.0% (96.8% - 100.0%),1 (1 - 1.03),1311,1700 (1450 - 2010)
Bulgaria,0.029 (0.017 - 0.045),46.8% (30.2% - 80.2%),2.14 (1.25 - 3.32),753,2440 (2000 - 2970)
Brazil,0.038 (0.037 - 0.039),36.3% (32.3% - 40.6%),2.75 (2.47 - 3.09),246088,707000 (635000 - 792000)
Bolivia,0.043 (0.038 - 0.049),31.7% (26.9% - 37.5%),3.16 (2.67 - 3.72),7164,22200 (19600 - 25100)
Belgium,0.045 (0.031 - 0.063),30.2% (21.3% - 44.9%),3.31 (2.23 - 4.7),428,1740 (1430 - 2120)
Belarus,0.007 (0.005 - 0.009),100.0% (100.0% - 100.0%),1 (1 - 1),3159,3160 (3160 - 3160)
Bangladesh,0.012 (0.01 - 0.013),100.0% (100.0% - 100.0%),1 (1 - 1),25203,25500 (25200 - 27000)
Azerbaijan,0.019 (0.014 - 0.025),73.6% (55.2% - 100.0%),1.36 (1 - 1.81),3652,4620 (4040 - 5400)
Austria,0.063 (0.034 - 0.105),21.8% (12.9% - 40.1%),4.6 (2.49 - 7.74),315,1320 (1010 - 1730)
Armenia,0.025 (0.02 - 0.03),56.2% (45.1% - 71.1%),1.78 (1.41 - 2.22),4937,9380 (8130 - 10900)
Argentina,0.026 (0.023 - 0.029),53.5% (45.2% - 63.5%),1.87 (1.57 - 2.21),16540,29300 (25800 - 33400)
Algeria,0.07 (0.054 - 0.089),19.7% (15.2% - 26.2%),5.09 (3.81 - 6.59),1337,8360 (7220 - 9690)
Afghanistan,0.029 (0.025 - 0.034),47.1% (38.6% - 57.6%),2.12 (1.74 - 2.59),2192,4310 (3780 - 4910)
