country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
India,0.039 (0.037 - 0.042),35.1% (31.0% - 39.7%),2.85 (2.52 - 3.23),40941,116000 (104000 - 130000)
Hungary,0.144 (0.104 - 0.193),9.5% (7.0% - 13.4%),10.48 (7.45 - 14.3),232,2370 (1940 - 2900)
Honduras,0.048 (0.034 - 0.065),28.8% (20.9% - 41.3%),3.47 (2.42 - 4.78),1178,3390 (2810 - 4090)
Greece,0.091 (0.045 - 0.157),15.1% (8.7% - 30.6%),6.61 (3.27 - 11.5),57,477 (323 - 690)
Germany,0.055 (0.05 - 0.061),24.8% (21.3% - 28.9%),4.03 (3.46 - 4.69),3926,17600 (15700 - 19900)
France,0.136 (0.127 - 0.146),10.1% (8.9% - 11.5%),9.91 (8.7 - 11.29),2515,25400 (22600 - 28700)
Finland,0.017 (0.008 - 0.031),80.0% (44.7% - 100.0%),1.25 (1 - 2.24),282,691 (553 - 863)
Egypt,0.043 (0.036 - 0.051),31.7% (26.0% - 39.0%),3.15 (2.56 - 3.85),4894,15300 (13500 - 17500)
Ecuador,0.085 (0.077 - 0.093),16.2% (14.0% - 18.6%),6.18 (5.37 - 7.13),3495,19000 (17000 - 21500)
Dominican_Republic,0.015 (0.01 - 0.02),93.4% (67.3% - 100.0%),1.07 (1 - 1.49),2529,3090 (2720 - 3610)
Denmark,0.026 (0.016 - 0.039),53.1% (34.4% - 87.7%),1.88 (1.14 - 2.91),431,859 (704 - 1050)
Czechia,0.056 (0.034 - 0.084),24.8% (16.2% - 40.0%),4.03 (2.5 - 6.17),435,1530 (1210 - 1930)
Colombia,0.037 (0.031 - 0.043),37.5% (31.2% - 45.8%),2.66 (2.18 - 3.2),5238,13900 (12200 - 15900)
Chile,0.022 (0.019 - 0.025),62.5% (53.0% - 73.6%),1.6 (1.36 - 1.89),23965,36300 (32200 - 41100)
Canada,0.076 (0.071 - 0.082),18.0% (15.8% - 20.5%),5.56 (4.87 - 6.33),7757,42200 (37700 - 47400)
Cameroon,0.03 (0.019 - 0.045),45.9% (30.1% - 74.3%),2.18 (1.35 - 3.32),1305,3110 (2360 - 4060)
Bulgaria,0.062 (0.038 - 0.093),22.2% (14.5% - 36.7%),4.51 (2.73 - 6.91),197,1010 (791 - 1280)
Brazil,0.096 (0.094 - 0.099),14.3% (12.7% - 15.9%),7 (6.28 - 7.85),114256,811000 (729000 - 908000)
Bosnia_and_Herzegovina,0.06 (0.033 - 0.099),22.8% (13.6% - 41.5%),4.38 (2.41 - 7.34),124,643 (496 - 836)
Bolivia,0.061 (0.049 - 0.076),22.5% (17.7% - 28.9%),4.45 (3.46 - 5.66),2089,8760 (7540 - 10200)
Belgium,0.078 (0.069 - 0.088),17.6% (15.0% - 20.8%),5.67 (4.8 - 6.68),1821,13400 (11900 - 15200)
Belarus,0.005 (0.004 - 0.007),100.0% (100.0% - 100.0%),1 (1 - 1),6563,6560 (6560 - 6560)
Bangladesh,0.022 (0.019 - 0.026),61.6% (50.5% - 74.9%),1.62 (1.33 - 1.98),11083,18100 (16000 - 20700)
Austria,0.035 (0.019 - 0.059),39.5% (23.1% - 74.2%),2.53 (1.35 - 4.34),267,604 (443 - 823)
Argentina,0.051 (0.041 - 0.063),26.9% (21.4% - 34.4%),3.72 (2.91 - 4.68),3548,15100 (13000 - 17400)
Algeria,0.04 (0.03 - 0.052),34.3% (26.0% - 46.3%),2.91 (2.16 - 3.85),1292,3620 (3090 - 4230)
Afghanistan,0.025 (0.019 - 0.032),55.5% (41.8% - 75.4%),1.8 (1.33 - 2.39),3596,8090 (6980 - 9430)
