country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
France,0.042 (0.038 - 0.048),32.4% (27.5% - 38.2%),3.09 (2.62 - 3.64),3179,11900 (10600 - 13500)
Egypt,0.033 (0.029 - 0.037),41.8% (35.8% - 49.1%),2.39 (2.04 - 2.79),10368,26900 (23900 - 30400)
Ecuador,0.092 (0.082 - 0.103),15.0% (12.8% - 17.5%),6.68 (5.72 - 7.82),3628,25300 (22400 - 28800)
Dominican_Republic,0.017 (0.013 - 0.023),79.3% (58.2% - 100.0%),1.26 (1 - 1.72),3377,3980 (3540 - 4610)
Denmark,0.034 (0.017 - 0.058),40.8% (23.3% - 79.9%),2.45 (1.25 - 4.29),215,562 (427 - 746)
Democratic_Republic_of_the_Congo,0.029 (0.019 - 0.042),48.0% (32.6% - 75.2%),2.08 (1.33 - 3.07),845,1380 (1140 - 1690)
Colombia,0.042 (0.038 - 0.046),32.7% (28.2% - 37.9%),3.06 (2.64 - 3.55),10719,35400 (31600 - 39800)
Chile,0.05 (0.047 - 0.052),27.6% (24.5% - 31.1%),3.62 (3.21 - 4.09),39610,122000 (109000 - 137000)
Canada,0.061 (0.055 - 0.067),22.7% (19.5% - 26.3%),4.41 (3.8 - 5.13),3353,16700 (14800 - 18800)
Cameroon,0.049 (0.039 - 0.06),28.3% (22.2% - 36.7%),3.54 (2.73 - 4.51),1973,3670 (3230 - 4210)
Bulgaria,0.103 (0.057 - 0.164),13.4% (8.3% - 24.3%),7.45 (4.12 - 12.1),555,7300 (5710 - 9220)
Brazil,0.04 (0.039 - 0.041),34.1% (30.4% - 38.0%),2.93 (2.63 - 3.29),177677,569000 (512000 - 637000)
Bolivia,0.034 (0.029 - 0.04),40.2% (33.1% - 49.5%),2.48 (2.02 - 3.02),4484,11200 (9840 - 12800)
Belgium,0.067 (0.053 - 0.083),20.7% (16.3% - 26.6%),4.83 (3.76 - 6.15),846,4760 (4140 - 5520)
Belarus,0.007 (0.005 - 0.009),100.0% (100.0% - 100.0%),1 (1 - 1),5490,5490 (5490 - 5490)
Bangladesh,0.018 (0.016 - 0.02),76.3% (65.3% - 89.0%),1.31 (1.12 - 1.53),21353,29800 (26500 - 33700)
Azerbaijan,0.019 (0.013 - 0.026),73.4% (52.2% - 100.0%),1.36 (1 - 1.92),2331,3570 (3000 - 4260)
Armenia,0.026 (0.021 - 0.032),52.8% (41.5% - 68.2%),1.89 (1.47 - 2.41),3640,6870 (5940 - 7960)
Argentina,0.033 (0.028 - 0.038),42.2% (35.0% - 51.1%),2.37 (1.96 - 2.86),8275,19000 (16700 - 21500)
Algeria,0.07 (0.055 - 0.089),19.5% (15.1% - 25.5%),5.13 (3.93 - 6.62),760,3140 (2700 - 3680)
Afghanistan,0.026 (0.021 - 0.03),53.8% (44.0% - 66.5%),1.86 (1.5 - 2.27),4551,8410 (7400 - 9580)
