country,deaths_to_reported_ratio,estimated_reporting,factor_to_real_size,Observed_case_last_week,Predicted_True_case_last_week
Nigeria,0.03 (0.023 - 0.039),45.3% (34.3% - 61.2%),2.21 (1.63 - 2.92),2329,5060 (4310 - 5910)
Netherlands,0.111 (0.094 - 0.128),12.4% (10.3% - 15.0%),8.03 (6.64 - 9.67),1193,8120 (7120 - 9340)
Moldova,0.043 (0.033 - 0.056),31.6% (23.8% - 42.8%),3.16 (2.34 - 4.21),1104,3500 (2970 - 4130)
Mexico,0.158 (0.153 - 0.164),8.7% (7.7% - 9.7%),11.49 (10.27 - 12.91),21656,263000 (236000 - 294000)
Kuwait,0.009 (0.007 - 0.011),100.0% (100.0% - 100.0%),1 (1 - 1),5728,5730 (5730 - 5730)
Japan,0.194 (0.157 - 0.237),7.1% (5.7% - 9.0%),14.16 (11.09 - 17.69),301,3770 (3150 - 4490)
Italy,0.114 (0.105 - 0.123),12.1% (10.6% - 13.8%),8.28 (7.24 - 9.44),3337,28300 (25200 - 31900)
Ireland,0.057 (0.043 - 0.074),24.0% (18.0% - 32.8%),4.16 (3.05 - 5.56),347,1290 (1090 - 1530)
Iraq,0.058 (0.043 - 0.077),23.6% (17.5% - 32.7%),4.24 (3.06 - 5.71),1907,8290 (7040 - 9760)
Iran,0.026 (0.024 - 0.029),51.9% (44.7% - 60.2%),1.93 (1.66 - 2.24),15429,34100 (30500 - 38400)
Indonesia,0.056 (0.049 - 0.064),24.6% (20.8% - 29.0%),4.07 (3.44 - 4.81),4028,17600 (15600 - 20000)
India,0.037 (0.035 - 0.039),36.8% (32.6% - 41.4%),2.72 (2.41 - 3.07),50275,136000 (122000 - 153000)
Hungary,0.152 (0.11 - 0.198),9.1% (6.8% - 12.7%),11.03 (7.87 - 14.75),126,1330 (1040 - 1680)
Honduras,0.03 (0.02 - 0.043),45.4% (31.5% - 69.0%),2.2 (1.45 - 3.17),1351,4780 (4020 - 5670)
Guatemala,0.048 (0.035 - 0.062),28.8% (21.7% - 39.3%),3.47 (2.54 - 4.61),1685,4270 (3550 - 5150)
Germany,0.057 (0.051 - 0.064),24.1% (20.5% - 28.3%),4.15 (3.53 - 4.88),3201,13000 (11500 - 14700)
France,0.146 (0.134 - 0.159),9.4% (8.2% - 10.8%),10.61 (9.24 - 12.18),6690,67400 (59900 - 76300)
Finland,0.028 (0.014 - 0.049),49.1% (27.6% - 96.5%),2.03 (1.04 - 3.62),258,433 (328 - 576)
Egypt,0.047 (0.04 - 0.054),29.5% (24.7% - 35.4%),3.39 (2.82 - 4.06),6836,23500 (20700 - 26700)
Ecuador,0.057 (0.051 - 0.065),24.0% (20.4% - 28.3%),4.17 (3.53 - 4.9),2313,16300 (14400 - 18500)
Dominican_Republic,0.018 (0.013 - 0.024),77.3% (56.9% - 100.0%),1.29 (1 - 1.76),2486,2780 (2540 - 3170)
Denmark,0.022 (0.011 - 0.038),62.3% (35.7% - 100.0%),1.61 (1 - 2.8),344,532 (422 - 680)
Colombia,0.039 (0.034 - 0.045),35.4% (29.8% - 42.5%),2.82 (2.35 - 3.36),8059,22100 (19600 - 25100)
Chile,0.017 (0.015 - 0.019),81.9% (70.2% - 95.3%),1.22 (1.05 - 1.42),29465,41600 (37100 - 46800)
Canada,0.091 (0.084 - 0.097),15.2% (13.3% - 17.3%),6.59 (5.79 - 7.5),6569,41400 (37000 - 46600)
Cameroon,0.031 (0.022 - 0.043),44.4% (31.6% - 64.5%),2.25 (1.55 - 3.16),1307,3450 (2790 - 4220)
Bulgaria,0.054 (0.031 - 0.086),25.4% (15.8% - 44.7%),3.94 (2.24 - 6.33),105,444 (327 - 606)
Brazil,0.068 (0.067 - 0.07),20.2% (18.0% - 22.5%),4.95 (4.44 - 5.55),151042,862000 (776000 - 964000)
Bosnia_and_Herzegovina,0.081 (0.044 - 0.132),17.1% (10.4% - 31.5%),5.85 (3.18 - 9.62),103,612 (449 - 826)
Bolivia,0.04 (0.032 - 0.051),34.1% (26.6% - 44.2%),2.94 (2.26 - 3.76),3677,14100 (12200 - 16200)
Belgium,0.108 (0.095 - 0.122),12.8% (10.8% - 15.1%),7.83 (6.6 - 9.23),1376,9370 (8250 - 10700)
Belarus,0.005 (0.004 - 0.007),100.0% (100.0% - 100.0%),1 (1 - 1),6414,6410 (6410 - 6410)
Bangladesh,0.017 (0.015 - 0.02),79.2% (65.9% - 96.0%),1.26 (1.04 - 1.52),12530,18100 (15900 - 20500)
Armenia,0.031 (0.023 - 0.04),44.4% (33.4% - 59.5%),2.25 (1.68 - 2.99),2625,5170 (4390 - 6120)
Argentina,0.032 (0.025 - 0.039),43.6% (34.6% - 55.5%),2.29 (1.8 - 2.89),4861,14900 (13000 - 17000)
Algeria,0.042 (0.032 - 0.054),32.8% (25.0% - 43.8%),3.05 (2.28 - 4),1154,3600 (3080 - 4200)
Afghanistan,0.011 (0.008 - 0.016),100.0% (86.0% - 100.0%),1 (1 - 1.16),4527,5860 (5180 - 6740)
